"Date and Time Run #1","Time (s) Run #1","Position, Ch P1 (m) Run #1","Velocity, Ch P1 (m/s) Run #1","Acceleration, Ch P1 (m/s²) Run #1","Ping Echo Time, Ch P1 (s) Run #1","Position, Ch 1+2 (m) Run #1","Velocity, Ch 1+2 (m/s) Run #1","Acceleration, Ch 1+2 (m/s²) Run #1","Ping Echo Time, Ch 1+2 (s) Run #1"
05/24/2024 01:29:33 pm,0.000,0.13,,,7.310731E-4,,,,
05/24/2024 01:29:33 pm,0.010,,,,,-0.136,,,7.930000E-4
05/24/2024 01:29:33 pm,0.020,0.13,-0.04,,7.270727E-4,,,,
05/24/2024 01:29:33 pm,0.030,,,,,-0.136,,,7.929009E-4
05/24/2024 01:29:33 pm,0.040,0.12,-0.01,0.67,7.228735E-4,,,,
05/24/2024 01:29:33 pm,0.050,,,,,-0.137,-0.05,-0.4,7.974816E-4
05/24/2024 01:29:33 pm,0.060,0.13,-0.01,0.30,7.301095E-4,,,,
05/24/2024 01:29:33 pm,0.070,,,,,-0.142,-0.04,0.9,8.246185E-4
05/24/2024 01:29:33 pm,0.080,0.12,-0.01,0.31,7.240724E-4,,,,
05/24/2024 01:29:33 pm,0.090,,,,,-0.136,0.00,1.3,7.934446E-4
05/24/2024 01:29:33 pm,0.100,0.12,0.00,0.38,7.198740E-4,,,,
05/24/2024 01:29:33 pm,0.110,,,,,-0.141,0.04,0.7,8.225141E-4
05/24/2024 01:29:33 pm,0.120,0.13,0.02,-0.03,7.269455E-4,,,,
05/24/2024 01:29:33 pm,0.130,,,,,-0.137,0.03,0.0,7.971196E-4
05/24/2024 01:29:33 pm,0.140,0.13,0.01,-0.54,7.300548E-4,,,,
05/24/2024 01:29:33 pm,0.150,,,,,-0.136,0.03,0.2,7.906837E-4
05/24/2024 01:29:33 pm,0.160,0.13,-0.02,-0.58,7.270182E-4,,,,
05/24/2024 01:29:33 pm,0.170,,,,,-0.139,0.03,0.8,8.072825E-4
05/24/2024 01:29:33 pm,0.180,0.12,-0.02,-0.08,7.261271E-4,,,,
05/24/2024 01:29:33 pm,0.190,,,,,-0.136,0.06,0.6,7.933173E-4
05/24/2024 01:29:33 pm,0.200,0.12,-0.02,0.42,7.189641E-4,,,,
05/24/2024 01:29:33 pm,0.210,,,,,-0.134,0.08,-0.1,7.770000E-4
05/24/2024 01:29:33 pm,0.220,0.12,-1.56E-4,0.45,7.210180E-4,,,,
05/24/2024 01:29:33 pm,0.230,,,,,-0.134,0.04,-0.9,7.771943E-4
05/24/2024 01:29:33 pm,0.240,0.12,0.01,0.45,7.199100E-4,,,,
05/24/2024 01:29:33 pm,0.250,,,,,-0.132,0.03,-0.9,7.669041E-4
05/24/2024 01:29:33 pm,0.260,0.12,0.00,1.21,7.250725E-4,,,,
05/24/2024 01:29:33 pm,0.270,,,,,-0.133,0.01,-0.6,7.721737E-4
05/24/2024 01:29:33 pm,0.280,0.12,0.03,2.85,7.209640E-4,,,,
05/24/2024 01:29:33 pm,0.290,,,,,-0.131,0.00,-0.8,7.628284E-4
05/24/2024 01:29:33 pm,0.300,0.12,0.12,4.27,7.225845E-4,,,,
05/24/2024 01:29:33 pm,0.310,,,,,-0.133,-0.01,-1.6,7.721351E-4
05/24/2024 01:29:33 pm,0.320,0.13,0.23,4.38,7.452547E-4,,,,
05/24/2024 01:29:33 pm,0.330,,,,,-0.132,-0.05,-2.9,7.648088E-4
05/24/2024 01:29:33 pm,0.340,0.14,0.32,3.38,7.852932E-4,,,,
05/24/2024 01:29:33 pm,0.350,,,,,-0.133,-0.12,-3.8,7.746320E-4
05/24/2024 01:29:33 pm,0.360,0.14,0.36,2.22,8.210558E-4,,,,
05/24/2024 01:29:33 pm,0.370,,,,,-0.136,-0.22,-3.3,7.932860E-4
05/24/2024 01:29:33 pm,0.380,0.15,0.40,1.31,8.668947E-4,,,,
05/24/2024 01:29:33 pm,0.390,,,,,-0.143,-0.28,-1.7,8.292330E-4
05/24/2024 01:29:33 pm,0.400,0.16,0.42,0.58,9.179214E-4,,,,
05/24/2024 01:29:33 pm,0.410,,,,,-0.149,-0.29,-0.1,8.662853E-4
05/24/2024 01:29:33 pm,0.420,0.17,0.42,0.16,9.647699E-4,,,,
05/24/2024 01:29:33 pm,0.430,,,,,-0.155,-0.26,0.4,8.994828E-4
05/24/2024 01:29:33 pm,0.440,0.17,0.41,0.09,0.001016,,,,
05/24/2024 01:29:33 pm,0.450,,,,,-0.159,-0.26,0.2,9.222161E-4
05/24/2024 01:29:33 pm,0.460,0.18,0.42,0.24,0.001061,,,,
05/24/2024 01:29:33 pm,0.470,,,,,-0.164,-0.26,0.2,9.561634E-4
05/24/2024 01:29:33 pm,0.480,0.19,0.43,0.20,0.001109,,,,
05/24/2024 01:29:33 pm,0.490,,,,,-0.171,-0.26,0.4,9.914547E-4
05/24/2024 01:29:33 pm,0.500,0.20,0.43,-0.01,0.001166,,,,
05/24/2024 01:29:33 pm,0.510,,,,,-0.174,-0.24,0.2,0.001013
05/24/2024 01:29:33 pm,0.520,0.21,0.43,-0.09,0.001208,,,,
05/24/2024 01:29:33 pm,0.530,,,,,-0.180,-0.24,-0.4,0.001045
05/24/2024 01:29:33 pm,0.540,0.22,0.42,-0.04,0.001264,,,,
05/24/2024 01:29:33 pm,0.550,,,,,-0.184,-0.26,-0.9,0.001068
05/24/2024 01:29:33 pm,0.560,0.23,0.43,0.13,0.001308,,,,
05/24/2024 01:29:33 pm,0.570,,,,,-0.190,-0.29,-0.9,0.001103
05/24/2024 01:29:33 pm,0.580,0.23,0.43,0.23,0.001360,,,,
05/24/2024 01:29:33 pm,0.590,,,,,-0.196,-0.30,-0.5,0.001139
05/24/2024 01:29:33 pm,0.600,0.24,0.44,0.24,0.001409,,,,
05/24/2024 01:29:33 pm,0.610,,,,,-0.202,-0.30,-0.2,0.001174
05/24/2024 01:29:33 pm,0.620,0.25,0.44,0.18,0.001460,,,,
05/24/2024 01:29:33 pm,0.630,,,,,-0.208,-0.31,0.0,0.001209
05/24/2024 01:29:33 pm,0.640,0.26,0.44,0.11,0.001513,,,,
05/24/2024 01:29:33 pm,0.650,,,,,-0.214,-0.31,0.0,0.001246
05/24/2024 01:29:33 pm,0.660,0.27,0.44,0.22,0.001563,,,,
05/24/2024 01:29:33 pm,0.670,,,,,-0.220,-0.31,0.0,0.001281
05/24/2024 01:29:33 pm,0.680,0.28,0.45,0.58,0.001615,,,,
05/24/2024 01:29:33 pm,0.690,,,,,-0.226,-0.30,0.0,0.001316
05/24/2024 01:29:33 pm,0.700,0.29,0.46,0.88,0.001667,,,,
05/24/2024 01:29:33 pm,0.710,,,,,-0.233,-0.31,0.0,0.001352
05/24/2024 01:29:33 pm,0.720,0.30,0.49,0.36,0.001722,,,,
05/24/2024 01:29:33 pm,0.730,,,,,-0.239,-0.31,0.0,0.001388
05/24/2024 01:29:33 pm,0.740,0.31,0.50,-1.05,0.001778,,,,
05/24/2024 01:29:33 pm,0.750,,,,,-0.245,-0.31,0.0,0.001423
05/24/2024 01:29:33 pm,0.760,0.32,0.45,-2.24,0.001848,,,,
05/24/2024 01:29:33 pm,0.770,,,,,-0.251,-0.31,-0.1,0.001459
05/24/2024 01:29:33 pm,0.780,0.33,0.38,-1.98,0.001890,,,,
05/24/2024 01:29:33 pm,0.790,,,,,-0.257,-0.31,-0.1,0.001495
05/24/2024 01:29:33 pm,0.800,0.33,0.35,-0.62,0.001923,,,,
05/24/2024 01:29:33 pm,0.810,,,,,-0.263,-0.31,0.0,0.001531
05/24/2024 01:29:33 pm,0.820,0.34,0.37,0.48,0.001968,,,,
05/24/2024 01:29:33 pm,0.830,,,,,-0.270,-0.31,0.0,0.001568
05/24/2024 01:29:33 pm,0.840,0.35,0.39,0.71,0.002013,,,,
05/24/2024 01:29:33 pm,0.850,,,,,-0.276,-0.31,0.0,0.001604
05/24/2024 01:29:33 pm,0.860,0.35,0.40,0.48,0.002057,,,,
05/24/2024 01:29:33 pm,0.870,,,,,-0.282,-0.31,0.0,0.001640
05/24/2024 01:29:33 pm,0.880,0.36,0.40,0.22,0.002104,,,,
05/24/2024 01:29:33 pm,0.890,,,,,-0.288,-0.31,0.0,0.001675
05/24/2024 01:29:33 pm,0.900,0.37,0.41,-0.06,0.002153,,,,
05/24/2024 01:29:33 pm,0.910,,,,,-0.295,-0.31,0.0,0.001712
05/24/2024 01:29:33 pm,0.920,0.38,0.40,-0.33,0.002198,,,,
05/24/2024 01:29:33 pm,0.930,,,,,-0.301,-0.31,0.1,0.001748
05/24/2024 01:29:33 pm,0.940,0.39,0.39,-0.42,0.002248,,,,
05/24/2024 01:29:33 pm,0.950,,,,,-0.307,-0.31,0.1,0.001784
05/24/2024 01:29:33 pm,0.960,0.39,0.38,-0.20,0.002289,,,,
05/24/2024 01:29:33 pm,0.970,,,,,-0.313,-0.31,0.3,0.001820
05/24/2024 01:29:33 pm,0.980,0.40,0.38,-0.33,0.002334,,,,
05/24/2024 01:29:33 pm,0.990,,,,,-0.319,-0.30,1.4,0.001855
05/24/2024 01:29:34 pm,1.000,0.41,0.39,-1.79,0.002377,,,,
05/24/2024 01:29:34 pm,1.010,,,,,-0.325,-0.28,3.6,0.001890
05/24/2024 01:29:34 pm,1.020,0.42,0.34,-4.49,0.002424,,,,
05/24/2024 01:29:34 pm,1.030,,,,,-0.331,-0.17,6.0,0.001925
05/24/2024 01:29:34 pm,1.040,0.43,0.20,-6.65,0.002472,,,,
05/24/2024 01:29:34 pm,1.050,,,,,-0.335,0.00,6.8,0.001945
05/24/2024 01:29:34 pm,1.060,0.43,0.03,-6.36,0.002479,,,,
05/24/2024 01:29:34 pm,1.070,,,,,-0.330,0.15,5.2,0.001920
05/24/2024 01:29:34 pm,1.080,0.42,-0.09,-4.05,0.002464,,,,
05/24/2024 01:29:34 pm,1.090,,,,,-0.326,0.22,2.7,0.001897
05/24/2024 01:29:34 pm,1.100,0.42,-0.13,-1.66,0.002451,,,,
05/24/2024 01:29:34 pm,1.110,,,,,-0.322,0.23,1.0,0.001870
05/24/2024 01:29:34 pm,1.120,0.42,-0.13,-0.44,0.002435,,,,
05/24/2024 01:29:34 pm,1.130,,,,,-0.317,0.24,0.3,0.001841
05/24/2024 01:29:34 pm,1.140,0.42,-0.13,-0.14,0.002420,,,,
05/24/2024 01:29:34 pm,1.150,,,,,-0.312,0.25,0.1,0.001814
05/24/2024 01:29:34 pm,1.160,0.41,-0.14,-0.02,0.002404,,,,
05/24/2024 01:29:34 pm,1.170,,,,,-0.307,0.25,0.0,0.001784
05/24/2024 01:29:34 pm,1.180,0.41,-0.14,0.15,0.002388,,,,
05/24/2024 01:29:34 pm,1.190,,,,,-0.302,0.25,0.0,0.001756
05/24/2024 01:29:34 pm,1.200,0.41,-0.13,0.25,0.002372,,,,
05/24/2024 01:29:34 pm,1.210,,,,,-0.297,0.25,0.0,0.001728
05/24/2024 01:29:34 pm,1.220,0.41,-0.12,0.13,0.002357,,,,
05/24/2024 01:29:34 pm,1.230,,,,,-0.292,0.25,0.0,0.001699
05/24/2024 01:29:34 pm,1.240,0.40,-0.12,-0.09,0.002344,,,,
05/24/2024 01:29:34 pm,1.250,,,,,-0.287,0.25,0.0,0.001670
05/24/2024 01:29:34 pm,1.260,0.40,-0.13,-0.14,0.002331,,,,
05/24/2024 01:29:34 pm,1.270,,,,,-0.282,0.25,0.0,0.001642
