"Date and Time Run #1","Time (s) Run #1","Position, Ch P1 (m) Run #1","Velocity, Ch P1 (m/s) Run #1","Acceleration, Ch P1 (m/s²) Run #1","Ping Echo Time, Ch P1 (s) Run #1","Position, Ch 1+2 (m) Run #1","Velocity, Ch 1+2 (m/s) Run #1","Acceleration, Ch 1+2 (m/s²) Run #1","Ping Echo Time, Ch 1+2 (s) Run #1"
05/24/2024 01:56:33 pm,0.000,0.21,,,0.001240,,,,
05/24/2024 01:56:33 pm,0.010,,,,,-0.171,,,9.918098E-4
05/24/2024 01:56:33 pm,0.020,0.21,-0.02,,0.001237,,,,
05/24/2024 01:56:33 pm,0.030,,,,,-0.179,,,0.001040
05/24/2024 01:56:33 pm,0.040,0.21,-0.01,0.36,0.001236,,,,
05/24/2024 01:56:33 pm,0.050,,,,,-0.187,-0.49,-3.1,0.001088
05/24/2024 01:56:33 pm,0.060,0.21,0.00,0.23,0.001235,,,,
05/24/2024 01:56:33 pm,0.070,,,,,-0.198,-0.54,-2.0,0.001151
05/24/2024 01:56:33 pm,0.080,0.21,6.94E-16,0.11,0.001235,,,,
05/24/2024 01:56:33 pm,0.090,,,,,-0.210,-0.57,-1.1,0.001219
05/24/2024 01:56:33 pm,0.100,0.21,-6.94E-16,0.04,0.001236,,,,
05/24/2024 01:56:33 pm,0.110,,,,,-0.221,-0.57,-0.5,0.001284
05/24/2024 01:56:33 pm,0.120,0.21,-4.43E-5,0.04,0.001235,,,,
05/24/2024 01:56:33 pm,0.130,,,,,-0.232,-0.58,-0.3,0.001350
05/24/2024 01:56:33 pm,0.140,0.21,0.00,0.04,0.001235,,,,
05/24/2024 01:56:33 pm,0.150,,,,,-0.244,-0.59,-0.2,0.001420
05/24/2024 01:56:33 pm,0.160,0.21,0.00,0.00,0.001236,,,,
05/24/2024 01:56:33 pm,0.170,,,,,-0.256,-0.59,0.1,0.001486
05/24/2024 01:56:33 pm,0.180,0.21,0.00,-0.04,0.001236,,,,
05/24/2024 01:56:33 pm,0.190,,,,,-0.268,-0.58,0.3,0.001556
05/24/2024 01:56:33 pm,0.200,0.21,0.00,-0.04,0.001236,,,,
05/24/2024 01:56:33 pm,0.210,,,,,-0.279,-0.57,0.4,0.001624
05/24/2024 01:56:33 pm,0.220,0.21,0.00,-0.01,0.001236,,,,
05/24/2024 01:56:33 pm,0.230,,,,,-0.291,-0.57,0.3,0.001689
05/24/2024 01:56:33 pm,0.240,0.21,0.00,0.00,0.001236,,,,
05/24/2024 01:56:33 pm,0.250,,,,,-0.302,-0.56,0.1,0.001754
05/24/2024 01:56:33 pm,0.260,0.21,0.00,0.00,0.001236,,,,
05/24/2024 01:56:33 pm,0.270,,,,,-0.313,-0.56,0.0,0.001821
05/24/2024 01:56:33 pm,0.280,0.21,0.00,0.00,0.001236,,,,
05/24/2024 01:56:33 pm,0.290,,,,,-0.324,-0.56,0.0,0.001886
05/24/2024 01:56:33 pm,0.300,0.21,0.00,0.00,0.001236,,,,
05/24/2024 01:56:33 pm,0.310,,,,,-0.336,-0.56,0.1,0.001951
05/24/2024 01:56:33 pm,0.320,0.21,0.00,0.00,0.001236,,,,
05/24/2024 01:56:33 pm,0.330,,,,,-0.347,-0.56,0.3,0.002017
05/24/2024 01:56:33 pm,0.340,0.21,0.00,-3.69E-4,0.001236,,,,
05/24/2024 01:56:33 pm,0.350,,,,,-0.358,-0.55,0.5,0.002083
05/24/2024 01:56:33 pm,0.360,0.21,0.00,0.01,0.001236,,,,
05/24/2024 01:56:33 pm,0.370,,,,,-0.369,-0.54,0.4,0.002148
05/24/2024 01:56:33 pm,0.380,0.21,-4.43E-5,0.02,0.001236,,,,
05/24/2024 01:56:33 pm,0.390,,,,,-0.379,-0.53,0.3,0.002206
05/24/2024 01:56:33 pm,0.400,0.21,0.00,0.01,0.001236,,,,
05/24/2024 01:56:33 pm,0.410,,,,,-0.390,-0.53,0.3,0.002268
05/24/2024 01:56:33 pm,0.420,0.21,0.00,-0.02,0.001236,,,,
05/24/2024 01:56:33 pm,0.430,,,,,-0.401,-0.52,0.3,0.002331
05/24/2024 01:56:33 pm,0.440,0.21,4.43E-5,-0.05,0.001237,,,,
05/24/2024 01:56:33 pm,0.450,,,,,-0.412,-0.51,0.0,0.002395
05/24/2024 01:56:33 pm,0.460,0.21,0.00,-0.01,0.001236,,,,
05/24/2024 01:56:33 pm,0.470,,,,,-0.420,-0.52,-0.6,0.002444
05/24/2024 01:56:33 pm,0.480,0.21,0.00,0.02,0.001236,,,,
05/24/2024 01:56:33 pm,0.490,,,,,-0.432,-0.54,-0.8,0.002511
05/24/2024 01:56:33 pm,0.500,0.21,0.00,0.01,0.001236,,,,
05/24/2024 01:56:33 pm,0.510,,,,,-0.443,-0.57,-0.5,0.002577
05/24/2024 01:56:33 pm,0.520,0.21,4.44E-5,-0.02,0.001236,,,,
05/24/2024 01:56:33 pm,0.530,,,,,-0.454,-0.56,-0.2,0.002642
